,id,values,tconst,primaryTitle,averageRating
362,tt0399327,0.01499006465242621,tt0399327,The Man,5.6
363,tt0373926,0.014985381360287925,tt0373926,The Interpreter,6.4
364,tt3481634,0.014979533020583663,tt3481634,Inconceivable,5.2
365,tt0103776,0.014952894759502842,tt0103776,Batman Returns,7.0
366,tt0114214,0.014919974996829313,tt0114214,The Quick and the Dead,6.4
367,tt0086525,0.014917143906447411,tt0086525,Valley Girl,6.4
368,tt0814022,0.014899657006968351,tt0814022,Bangkok Dangerous,5.4
369,tt0119080,0.014837292731583596,tt0119080,Eve's Bayou,7.3
370,tt2304953,0.014824561722403016,tt2304953,Reasonable Doubt,5.7
371,tt1931533,0.014814847772344342,tt1931533,Seven Psychopaths,7.2
372,tt3733778,0.014800825972241959,tt3733778,Pay the Ghost,5.2
373,tt0182000,0.01477809150392754,tt0182000,The Caveman's Valentine,5.8
374,tt0109842,0.014775184900840344,tt0109842,Fresh,7.6
375,tt0080474,0.01477321539242642,tt0080474,Brubaker,7.2
376,tt0120112,0.014767936553897545,tt0120112,She's So Lovely,5.9
377,tt2401807,0.014752269057952362,tt2401807,Rage,5.0
378,tt4463894,0.014751592267997868,tt4463894,Shaft,6.4
379,tt6143568,0.014745723445815118,tt6143568,The Humanity Bureau,4.7
380,tt0104257,0.014735745278299947,tt0104257,A Few Good Men,7.7
381,tt2302755,0.01472899326628087,tt2302755,Olympus Has Fallen,6.5
382,tt0117333,0.01472559554839043,tt0117333,Phenomenon,6.4
383,tt1223236,0.014706874100278123,tt1223236,African Cats,7.6
384,tt1748197,0.014695176060903748,tt1748197,Setup,4.4
385,tt0095016,0.014677291583756477,tt0095016,Die Hard,8.2
386,tt3480796,0.01465190200796104,tt3480796,Vice,4.2
387,tt4976192,0.014650542802379287,tt4976192,211,4.4
388,tt0393162,0.014638642358505993,tt0393162,Coach Carter,7.3
389,tt0103074,0.014633643913934792,tt0103074,Thelma & Louise,7.5
390,tt2088003,0.014631625534203215,tt2088003,Big Game,5.4
391,tt0314353,0.014626742994458198,tt0314353,Tears of the Sun,6.6
392,tt0417148,0.014605621678153328,tt0417148,Snakes on a Plane,5.4
393,tt0315824,0.0145830264789516,tt0315824,The Big Bounce,4.9
394,tt1111948,0.014576788756373462,tt1111948,Soul Men,6.4
395,tt0175880,0.014545311819073883,tt0175880,Magnolia,8.0
396,tt3316960,0.014530776587468286,tt3316960,Still Alice,7.5
